productkey,productalternatekey,productsubcategorykey,englishproductname,daystomanufacture,modelname,productsubcategoryalternatekey,englishproductsubcategoryname,productcategorykey,englishproductcategoryname
577,BK-T44U-46,3,"Touring-2000 Blue, 46",4,Touring-2000,3,Touring Bikes,1,Bikes
576,BK-T79U-60,3,"Touring-1000 Blue, 60",4,Touring-1000,3,Touring Bikes,1,Bikes
575,BK-T79U-54,3,"Touring-1000 Blue, 54",4,Touring-1000,3,Touring Bikes,1,Bikes
585,BK-T18U-44,3,"Touring-3000 Blue, 44",4,Touring-3000,3,Touring Bikes,1,Bikes
560,BK-T44U-60,3,"Touring-2000 Blue, 60",4,Touring-2000,3,Touring Bikes,1,Bikes
579,BK-T44U-54,3,"Touring-2000 Blue, 54",4,Touring-2000,3,Touring Bikes,1,Bikes
399,HB-M763,4,ML Mountain Handlebars,1,ML Mountain Handlebars,4,Handlebars,2,Components
554,HB-T928,4,HL Touring Handlebars,1,HL Touring Handlebars,4,Handlebars,2,Components
553,HB-T721,4,LL Touring Handlebars,1,LL Touring Handlebars,4,Handlebars,2,Components
408,HB-R956,4,HL Road Handlebars,1,HL Road Handlebars,4,Handlebars,2,Components
407,HB-R956,4,HL Road Handlebars,1,HL Road Handlebars,4,Handlebars,2,Components
406,HB-R720,4,ML Road Handlebars,1,ML Road Handlebars,4,Handlebars,2,Components
405,HB-R720,4,ML Road Handlebars,1,ML Road Handlebars,4,Handlebars,2,Components
404,HB-R504,4,LL Road Handlebars,1,LL Road Handlebars,4,Handlebars,2,Components
403,HB-R504,4,LL Road Handlebars,1,LL Road Handlebars,4,Handlebars,2,Components
402,HB-M918,4,HL Mountain Handlebars,1,HL Mountain Handlebars,4,Handlebars,2,Components
401,HB-M918,4,HL Mountain Handlebars,1,HL Mountain Handlebars,4,Handlebars,2,Components
400,HB-M763,4,ML Mountain Handlebars,1,ML Mountain Handlebars,4,Handlebars,2,Components
398,HB-M243,4,LL Mountain Handlebars,1,LL Mountain Handlebars,4,Handlebars,2,Components
397,HB-M243,4,LL Mountain Handlebars,1,LL Mountain Handlebars,4,Handlebars,2,Components
602,BB-8107,5,ML Bottom Bracket,1,ML Bottom Bracket,5,Bottom Brackets,2,Components
601,BB-7421,5,LL Bottom Bracket,1,LL Bottom Bracket,5,Bottom Brackets,2,Components
603,BB-9108,5,HL Bottom Bracket,1,HL Bottom Bracket,5,Bottom Brackets,2,Components
555,FB-9873,6,Front Brakes,1,Front Brakes,6,Brakes,2,Components
514,RB-9231,6,Rear Brakes,1,Rear Brakes,6,Brakes,2,Components
559,CH-0234,7,Chain,1,Chain,7,Chains,2,Components
558,CS-9183,8,HL Crankset,1,HL Crankset,8,Cranksets,2,Components
557,CS-6583,8,ML Crankset,1,ML Crankset,8,Cranksets,2,Components
556,CS-4759,8,LL Crankset,1,LL Crankset,8,Cranksets,2,Components
552,FD-2342,9,Front Derailleur,1,Front Derailleur,9,Derailleurs,2,Components
501,RD-2308,9,Rear Derailleur,1,Rear Derailleur,9,Derailleurs,2,Components
391,FK-1639,10,LL Fork,1,LL Fork,10,Forks,2,Components
393,FK-9939,10,HL Fork,1,HL Fork,10,Forks,2,Components
392,FK-5136,10,ML Fork,1,ML Fork,10,Forks,2,Components
396,HS-3479,11,HL Headset,1,HL Headset,11,Headsets,2,Components
395,HS-2451,11,ML Headset,1,ML Headset,11,Headsets,2,Components
394,HS-0296,11,LL Headset,1,LL Headset,11,Headsets,2,Components
531,FR-M21B-42,12,"LL Mountain Frame - Black, 42",1,LL Mountain Frame,12,Mountain Frames,2,Components
288,FR-M94S-42,12,"HL Mountain Frame - Silver, 42",1,HL Mountain Frame,12,Mountain Frames,2,Components
289,FR-M94S-42,12,"HL Mountain Frame - Silver, 42",1,HL Mountain Frame,12,Mountain Frames,2,Components
290,FR-M94S-42,12,"HL Mountain Frame - Silver, 42",1,HL Mountain Frame,12,Mountain Frames,2,Components
291,FR-M94S-44,12,"HL Mountain Frame - Silver, 44",1,HL Mountain Frame,12,Mountain Frames,2,Components
292,FR-M94S-52,12,"HL Mountain Frame - Silver, 48",1,HL Mountain Frame,12,Mountain Frames,2,Components
293,FR-M94S-46,12,"HL Mountain Frame - Silver, 46",1,HL Mountain Frame,12,Mountain Frames,2,Components
294,FR-M94S-46,12,"HL Mountain Frame - Silver, 46",1,HL Mountain Frame,12,Mountain Frames,2,Components
295,FR-M94S-46,12,"HL Mountain Frame - Silver, 46",1,HL Mountain Frame,12,Mountain Frames,2,Components
296,FR-M94B-42,12,"HL Mountain Frame - Black, 42",1,HL Mountain Frame,12,Mountain Frames,2,Components
297,FR-M94B-42,12,"HL Mountain Frame - Black, 42",1,HL Mountain Frame,12,Mountain Frames,2,Components
298,FR-M94B-42,12,"HL Mountain Frame - Black, 42",1,HL Mountain Frame,12,Mountain Frames,2,Components
299,FR-M94B-44,12,"HL Mountain Frame - Black, 44",1,HL Mountain Frame,12,Mountain Frames,2,Components
300,FR-M94B-48,12,"HL Mountain Frame - Black, 48",1,HL Mountain Frame,12,Mountain Frames,2,Components
301,FR-M94B-46,12,"HL Mountain Frame - Black, 46",1,HL Mountain Frame,12,Mountain Frames,2,Components
302,FR-M94B-46,12,"HL Mountain Frame - Black, 46",1,HL Mountain Frame,12,Mountain Frames,2,Components
303,FR-M94B-46,12,"HL Mountain Frame - Black, 46",1,HL Mountain Frame,12,Mountain Frames,2,Components
304,FR-M94B-38,12,"HL Mountain Frame - Black, 38",2,HL Mountain Frame,12,Mountain Frames,2,Components
305,FR-M94B-38,12,"HL Mountain Frame - Black, 38",2,HL Mountain Frame,12,Mountain Frames,2,Components
306,FR-M94B-38,12,"HL Mountain Frame - Black, 38",2,HL Mountain Frame,12,Mountain Frames,2,Components
307,FR-M94S-38,12,"HL Mountain Frame - Silver, 38",2,HL Mountain Frame,12,Mountain Frames,2,Components
308,FR-M94S-38,12,"HL Mountain Frame - Silver, 38",2,HL Mountain Frame,12,Mountain Frames,2,Components
309,FR-M94S-38,12,"HL Mountain Frame - Silver, 38",2,HL Mountain Frame,12,Mountain Frames,2,Components
409,FR-M63B-38,12,"ML Mountain Frame - Black, 38",2,ML Mountain Frame-W,12,Mountain Frames,2,Components
426,FR-M63B-40,12,"ML Mountain Frame - Black, 40",1,ML Mountain Frame,12,Mountain Frames,2,Components
427,FR-M63B-44,12,"ML Mountain Frame - Black, 44",1,ML Mountain Frame,12,Mountain Frames,2,Components
428,FR-M63B-48,12,"ML Mountain Frame - Black, 48",1,ML Mountain Frame,12,Mountain Frames,2,Components
511,FR-M63S-40,12,"ML Mountain Frame-W - Silver, 40",1,ML Mountain Frame-W,12,Mountain Frames,2,Components
512,FR-M63S-42,12,"ML Mountain Frame-W - Silver, 42",1,ML Mountain Frame-W,12,Mountain Frames,2,Components
513,FR-M63S-46,12,"ML Mountain Frame-W - Silver, 46",1,ML Mountain Frame-W,12,Mountain Frames,2,Components
524,FR-M21S-42,12,"LL Mountain Frame - Silver, 42",1,LL Mountain Frame,12,Mountain Frames,2,Components
525,FR-M21S-44,12,"LL Mountain Frame - Silver, 44",1,LL Mountain Frame,12,Mountain Frames,2,Components
526,FR-M21S-48,12,"LL Mountain Frame - Silver, 48",1,LL Mountain Frame,12,Mountain Frames,2,Components
527,FR-M21S-52,12,"LL Mountain Frame - Silver, 52",1,LL Mountain Frame,12,Mountain Frames,2,Components
532,FR-M21B-44,12,"LL Mountain Frame - Black, 44",1,LL Mountain Frame,12,Mountain Frames,2,Components
533,FR-M21B-48,12,"LL Mountain Frame - Black, 48",1,LL Mountain Frame,12,Mountain Frames,2,Components
534,FR-M21B-52,12,"LL Mountain Frame - Black, 52",1,LL Mountain Frame,12,Mountain Frames,2,Components
549,FR-M63S-38,12,"ML Mountain Frame-W - Silver, 38",2,ML Mountain Frame-W,12,Mountain Frames,2,Components
550,FR-M21B-40,12,"LL Mountain Frame - Black, 40",2,LL Mountain Frame,12,Mountain Frames,2,Components
551,FR-M21S-40,12,"LL Mountain Frame - Silver, 40",2,LL Mountain Frame,12,Mountain Frames,2,Components
545,PD-R347,13,LL Road Pedal,1,LL Road Pedal,13,Pedals,2,Components
544,PD-M562,13,HL Mountain Pedal,1,HL Mountain Pedal,13,Pedals,2,Components
543,PD-M340,13,ML Mountain Pedal,1,ML Mountain Pedal,13,Pedals,2,Components
542,PD-M282,13,LL Mountain Pedal,1,LL Mountain Pedal,13,Pedals,2,Components
548,PD-T852,13,Touring Pedal,1,Touring Pedal,13,Pedals,2,Components
547,PD-R853,13,HL Road Pedal,1,HL Road Pedal,13,Pedals,2,Components
546,PD-R563,13,ML Road Pedal,1,ML Road Pedal,13,Pedals,2,Components
250,FR-R92R-56,14,"HL Road Frame - Red, 56",1,HL Road Frame,14,Road Frames,2,Components
251,FR-R92R-56,14,"HL Road Frame - Red, 56",1,HL Road Frame,14,Road Frames,2,Components
252,FR-R92R-56,14,"HL Road Frame - Red, 56",1,HL Road Frame,14,Road Frames,2,Components
253,FR-R38B-58,14,"LL Road Frame - Black, 58",1,LL Road Frame,14,Road Frames,2,Components
417,FR-R72Y-38,14,"ML Road Frame-W - Yellow, 38",2,ML Road Frame-W,14,Road Frames,2,Components
418,FR-R72Y-38,14,"ML Road Frame-W - Yellow, 38",2,ML Road Frame-W,14,Road Frames,2,Components
254,FR-R38B-58,14,"LL Road Frame - Black, 58",1,LL Road Frame,14,Road Frames,2,Components
255,FR-R38B-58,14,"LL Road Frame - Black, 58",1,LL Road Frame,14,Road Frames,2,Components
256,FR-R38B-60,14,"LL Road Frame - Black, 60",1,LL Road Frame,14,Road Frames,2,Components
429,FR-R72Y-40,14,"ML Road Frame-W - Yellow, 40",1,ML Road Frame-W,14,Road Frames,2,Components
430,FR-R72Y-40,14,"ML Road Frame-W - Yellow, 40",1,ML Road Frame-W,14,Road Frames,2,Components
431,FR-R72Y-42,14,"ML Road Frame-W - Yellow, 42",1,ML Road Frame-W,14,Road Frames,2,Components
432,FR-R72Y-42,14,"ML Road Frame-W - Yellow, 42",1,ML Road Frame-W,14,Road Frames,2,Components
433,FR-R72Y-44,14,"ML Road Frame-W - Yellow, 44",1,ML Road Frame-W,14,Road Frames,2,Components
434,FR-R72Y-44,14,"ML Road Frame-W - Yellow, 44",1,ML Road Frame-W,14,Road Frames,2,Components
435,FR-R72Y-48,14,"ML Road Frame-W - Yellow, 48",1,ML Road Frame-W,14,Road Frames,2,Components
436,FR-R72Y-48,14,"ML Road Frame-W - Yellow, 48",1,ML Road Frame-W,14,Road Frames,2,Components
437,FR-R92B-62,14,"HL Road Frame - Black, 62",1,HL Road Frame,14,Road Frames,2,Components
438,FR-R92B-62,14,"HL Road Frame - Black, 62",1,HL Road Frame,14,Road Frames,2,Components
439,FR-R92B-44,14,"HL Road Frame - Black, 44",1,HL Road Frame,14,Road Frames,2,Components
440,FR-R92B-44,14,"HL Road Frame - Black, 44",1,HL Road Frame,14,Road Frames,2,Components
441,FR-R92B-48,14,"HL Road Frame - Black, 48",1,HL Road Frame,14,Road Frames,2,Components
442,FR-R92B-48,14,"HL Road Frame - Black, 48",1,HL Road Frame,14,Road Frames,2,Components
443,FR-R92B-52,14,"HL Road Frame - Black, 52",1,HL Road Frame,14,Road Frames,2,Components
444,FR-R92B-52,14,"HL Road Frame - Black, 52",1,HL Road Frame,14,Road Frames,2,Components
257,FR-R38B-60,14,"LL Road Frame - Black, 60",1,LL Road Frame,14,Road Frames,2,Components
258,FR-R38B-60,14,"LL Road Frame - Black, 60",1,LL Road Frame,14,Road Frames,2,Components
259,FR-R38B-62,14,"LL Road Frame - Black, 62",1,LL Road Frame,14,Road Frames,2,Components
260,FR-R38B-62,14,"LL Road Frame - Black, 62",1,LL Road Frame,14,Road Frames,2,Components
261,FR-R38B-62,14,"LL Road Frame - Black, 62",1,LL Road Frame,14,Road Frames,2,Components
262,FR-R38R-44,14,"LL Road Frame - Red, 44",1,LL Road Frame,14,Road Frames,2,Components
263,FR-R38R-44,14,"LL Road Frame - Red, 44",1,LL Road Frame,14,Road Frames,2,Components
264,FR-R38R-48,14,"LL Road Frame - Red, 48",1,LL Road Frame,14,Road Frames,2,Components
265,FR-R38R-48,14,"LL Road Frame - Red, 48",1,LL Road Frame,14,Road Frames,2,Components
266,FR-R38R-52,14,"LL Road Frame - Red, 52",1,LL Road Frame,14,Road Frames,2,Components
267,FR-R38R-52,14,"LL Road Frame - Red, 52",1,LL Road Frame,14,Road Frames,2,Components
268,FR-R38R-58,14,"LL Road Frame - Red, 58",1,LL Road Frame,14,Road Frames,2,Components
269,FR-R38R-58,14,"LL Road Frame - Red, 58",1,LL Road Frame,14,Road Frames,2,Components
270,FR-R38R-60,14,"LL Road Frame - Red, 60",1,LL Road Frame,14,Road Frames,2,Components
271,FR-R38R-60,14,"LL Road Frame - Red, 60",1,LL Road Frame,14,Road Frames,2,Components
272,FR-R38R-62,14,"LL Road Frame - Red, 62",1,LL Road Frame,14,Road Frames,2,Components
273,FR-R38R-62,14,"LL Road Frame - Red, 62",1,LL Road Frame,14,Road Frames,2,Components
274,FR-R72R-44,14,"ML Road Frame - Red, 44",1,ML Road Frame,14,Road Frames,2,Components
275,FR-R72R-48,14,"ML Road Frame - Red, 48",1,ML Road Frame,14,Road Frames,2,Components
276,FR-R72R-52,14,"ML Road Frame - Red, 52",1,ML Road Frame,14,Road Frames,2,Components
277,FR-R72R-58,14,"ML Road Frame - Red, 58",1,ML Road Frame,14,Road Frames,2,Components
278,FR-R72R-60,14,"ML Road Frame - Red, 60",1,ML Road Frame,14,Road Frames,2,Components
279,FR-R38B-44,14,"LL Road Frame - Black, 44",1,LL Road Frame,14,Road Frames,2,Components
280,FR-R38B-44,14,"LL Road Frame - Black, 44",1,LL Road Frame,14,Road Frames,2,Components
281,FR-R38B-44,14,"LL Road Frame - Black, 44",1,LL Road Frame,14,Road Frames,2,Components
282,FR-R38B-48,14,"LL Road Frame - Black, 48",1,LL Road Frame,14,Road Frames,2,Components
283,FR-R38B-48,14,"LL Road Frame - Black, 48",1,LL Road Frame,14,Road Frames,2,Components
284,FR-R38B-48,14,"LL Road Frame - Black, 48",1,LL Road Frame,14,Road Frames,2,Components
285,FR-R38B-52,14,"LL Road Frame - Black, 52",1,LL Road Frame,14,Road Frames,2,Components
286,FR-R38B-52,14,"LL Road Frame - Black, 52",1,LL Road Frame,14,Road Frames,2,Components
287,FR-R38B-52,14,"LL Road Frame - Black, 52",1,LL Road Frame,14,Road Frames,2,Components
210,FR-R92B-58,14,"HL Road Frame - Black, 58",1,HL Road Frame,14,Road Frames,2,Components
211,FR-R92R-58,14,"HL Road Frame - Red, 58",1,HL Road Frame,14,Road Frames,2,Components
238,FR-R92R-62,14,"HL Road Frame - Red, 62",1,HL Road Frame,14,Road Frames,2,Components
239,FR-R92R-62,14,"HL Road Frame - Red, 62",1,HL Road Frame,14,Road Frames,2,Components
240,FR-R92R-62,14,"HL Road Frame - Red, 62",1,HL Road Frame,14,Road Frames,2,Components
241,FR-R92R-44,14,"HL Road Frame - Red, 44",1,HL Road Frame,14,Road Frames,2,Components
242,FR-R92R-44,14,"HL Road Frame - Red, 44",1,HL Road Frame,14,Road Frames,2,Components
243,FR-R92R-44,14,"HL Road Frame - Red, 44",1,HL Road Frame,14,Road Frames,2,Components
244,FR-R92R-48,14,"HL Road Frame - Red, 48",1,HL Road Frame,14,Road Frames,2,Components
